Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Fix configurator bug;configurator;Fix compilation problem;Fix;Similar;0.8377902507781982;0.8218051195144653;
Fix configurator bug;configurator;fix compiler bug;bug;Similar;0.8822221159934998;0.6379483938217163;
Fix configurator bug;configurator;fix typo ( <pr_link> );typo;Similar;0.8136703968048096;0.720587968826294;
Fix configurator bug;configurator;Fix typo;typo;Similar;0.8260174989700317;0.720587968826294;
Fix NPE in <file_name>  ;Fix;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.8171052932739258;0.7213870286941528;
Fix NPE in <file_name>  ;Fix;Add <file_name> name and fix <file_name> error  ;error;Similar;0.862770140171051;0.8203036189079285;
Fix NPE in <file_name>  ;Fix;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.8672488927841187;0.7262778282165527;
Fix NPE in <file_name>  ;Fix;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8437533378601074;0.5771861672401428;
Fix NPE in <file_name>  ;Fix;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8070093393325806;0.8382233381271362;
Fix NPE in <file_name>  ;Fix;fix typo ( <pr_link> );typo;Similar;0.8777614831924438;0.75819993019104;
Fix NPE in <file_name>  ;Fix;Enable <file_name> ( <pr_link> );Enable;Similar;0.8340967893600464;0.8323961496353149;
Fix NPE in <file_name>  ;Fix;fix typo:<iden> ( <pr_link> );typo;Similar;0.8676317930221558;0.75819993019104;
Fix NPE in <file_name>  ;Fix;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8852519989013672;0.8519042730331421;
Fix NPE in <file_name>  ;Fix;Fix <issue_link> ( <pr_link> );fix;Similar;0.8223879337310791;1.0;
Fix NPE in <file_name>  ;Fix;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.8309677243232727;0.8015164732933044;
Fix NPE in <file_name>  ;Fix;Correct <file_name> version  ;Correct;Similar;0.8010768294334412;0.7924162745475769;
Fix NPE in <file_name>  ;Fix;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8595615029335022;0.6243098974227905;
Fix NPE in <file_name>  ;Fix;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8530440330505371;0.49866005778312683;
Fix comments;Fix;Fix compilation problem;Fix;Similar;0.8748149871826172;1.0;
Fix comments;Fix;fix typo ( <pr_link> );typo;Similar;0.8307604193687439;0.75819993019104;
Fix comments;Fix;Fix <issue_link> ( <pr_link> );fix;Similar;0.8464018702507019;1.0;
Fix comments;Fix;Fix typo;typo;Similar;0.8799306154251099;0.75819993019104;
Remove useless config item;useless;Remove call of deprecated method;Deprecated;Similar;0.8334131836891174;0.8086054921150208;
Remove useless config item;useless;Remove unnecessary dependencies ;unnecessary;Similar;0.8658512830734253;0.9355727434158325;
Remove useless config item;useless;dont set port attribute; <file_name>  is null;Similar;0.8005014657974243;0.7258070707321167;
Remove useless config item;useless;Remove unused code  ;unused;Similar;0.8627786636352539;0.8847368955612183;
Remove useless config item;useless;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8540587425231934;0.4076976776123047;
Fix compilation problem;Fix;Fix UT problems after structure change  ;after structure change;Similar;0.8160209059715271;0.7223808169364929;
Fix compilation problem;Fix;fix compiler bug;bug;Similar;0.8600636720657349;0.7695163488388062;
Fix compilation problem;Fix;fix comment grammar error;to correct the grammar error;Similar;0.8003424406051636;0.5715889930725098;
Fix compilation problem;Fix;Fix typo;typo;Similar;0.8282874226570129;0.75819993019104;
Remove duplicate ut classes;duplicate;Remove call of deprecated method;Deprecated;Similar;0.8728129863739014;0.7725299596786499;
Remove duplicate ut classes;duplicate;Remove unused code  ;unused;Similar;0.8679175972938538;0.763927698135376;
Remove duplicate ut classes;duplicate;Reduce object allocation for <method_name>;"-
None";Similar;0.8627358078956604;0.7661874294281006;0.7389117479324341
Remove duplicate ut classes;duplicate;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8255396485328674;0.6139971613883972;
Remove duplicate ut classes;duplicate;Remove unused import for unit test;clear unused import;Similar;0.8331428170204163;0.5885973572731018;
Remove duplicate ut classes;duplicate;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8728954792022705;0.46667635440826416;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8023581504821777;0.6569347381591797;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8272376656532288;0.5749576091766357;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8239907026290894;0.7856348752975464;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Enable <file_name> ( <pr_link> );Enable;Similar;0.8312979936599731;0.7700814008712769;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.8233051300048828;0.7371528744697571;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;fix typo:<iden> ( <pr_link> );typo;Similar;0.8047764301300049;0.7333005666732788;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8980550765991211;0.7762287259101868;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;add <file_name> rule to check import order;<pr_link>;Similar;0.8048262596130371;0.7708600759506226;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.8174830675125122;0.5756727457046509;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8750615119934082;0.7050044536590576;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8556146621704102;0.6091213226318359;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;modify consumer  <file_name> : param type from string to map;param type from string to map;Similar;0.81446373462677;0.6545299887657166;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8896163702011108;0.5038604736328125;
Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8558299541473389;0.6795099973678589;
Add <file_name> name and fix <file_name> error  ;error;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.8202341794967651;0.6763260364532471;
Add <file_name> name and fix <file_name> error  ;error;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8156555891036987;0.48764318227767944;
Add <file_name> name and fix <file_name> error  ;error;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8057922124862671;0.7812723517417908;
Add <file_name> name and fix <file_name> error  ;error;fix typo ( <pr_link> );typo;Similar;0.8341369032859802;0.7917923331260681;
Add <file_name> name and fix <file_name> error  ;error;fix typo:<iden> ( <pr_link> );typo;Similar;0.8355920314788818;0.7917923331260681;
Add <file_name> name and fix <file_name> error  ;error;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8499083518981934;0.7720443606376648;
Add <file_name> name and fix <file_name> error  ;error;Fix <issue_link> ( <pr_link> );fix;Similar;0.8135133981704712;0.8203036189079285;
Add <file_name> name and fix <file_name> error  ;error;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8664259910583496;0.5700438618659973;
Add <file_name> name and fix <file_name> error  ;error;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.825069785118103;0.40485095977783203;
Remove call of deprecated method;Deprecated;Remove unnecessary dependencies ;unnecessary;Similar;0.841232419013977;0.8742986917495728;
Remove call of deprecated method;Deprecated;Remove unused code  ;unused;Similar;0.90840482711792;0.8271223902702332;
Remove call of deprecated method;Deprecated;Remove unnecessary null check and fix typo;unnecessary, fix typo;Similar;0.8131501078605652;0.8138958215713501;
Remove call of deprecated method;Deprecated;Reduce object allocation for <method_name>;"-
None";Similar;0.8616749048233032;0.7497019171714783;
Remove call of deprecated method;Deprecated;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.9198621511459352;0.5911228656768799;
Remove call of deprecated method;Deprecated;Remove unused import for unit test;clear unused import;Similar;0.8554928302764893;0.6892186999320984;
Remove call of deprecated method;Deprecated;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8932455778121948;0.38235145807266235;
Remove unnecessary dependencies ;unnecessary;Remove unused code  ;unused;Similar;0.8477090001106262;0.8948167562484741;
Remove unnecessary dependencies ;unnecessary;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8425659537315369;0.517672061920166;
Remove unnecessary dependencies ;unnecessary;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8156195282936096;0.3015427887439728;
Fixed typo in \<file_name\>  ;mDeamo;Fix random ut falling in \<file\_name\> ( \<pr\_link\> )  ;random ut falling;Similar;0.8667492866516113;0.5601152181625366;
Fixed typo in \<file_name\>  ;mDeamo;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8195769190788269;0.7412339448928833;
Fixed typo in \<file_name\>  ;mDeamo;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8256206512451172;0.5112836360931396;
Fixed typo in \<file_name\>  ;mDeamo;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.806384801864624;0.549184262752533;
Ignore unit test <file_name> (no zk server);no zk server;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Similar;0.8002029657363892;0.4556099474430084;
Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;fix typo:<iden> ( <pr_link> );typo;Similar;0.8038756847381592;0.6585149765014648;
Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8039456009864807;0.7393845319747925;
Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.823074221611023;0.6313735246658325;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8836843967437744;0.4512050449848175;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Enable <file_name> ( <pr_link> );Enable;Similar;0.8304004669189453;0.5421996712684631;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.834896981716156;0.7790582180023193;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.870215654373169;0.6748607158660889;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;add <file_name> rule to check import order;<pr_link>;Similar;0.8236624002456665;0.655403196811676;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.8419875502586365;0.7445620894432068;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8431856036186218;0.5315556526184082;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8205621242523193;0.5127995014190674;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;modify consumer  <file_name> : param type from string to map;param type from string to map;Similar;0.8184359669685364;0.6688401699066162;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8646414279937744;0.7209818363189697;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8212190270423889;0.7314746379852295;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8243335485458374;0.6762831211090088;
add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8066986203193665;0.3640343248844147;
"add the router key in <file_name> (<pr_link>)
";-;Enable <file_name> ( <pr_link> );Enable;Similar;0.8647110462188721;0.8907932043075562;
"add the router key in <file_name> (<pr_link>)
";-;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.8181675672531128;0.6048445701599121;
"add the router key in <file_name> (<pr_link>)
";-;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8747716546058655;0.7912052869796753;
"add the router key in <file_name> (<pr_link>)
";-;add <file_name> rule to check import order;<pr_link>;Similar;0.8242629766464233;0.7444562911987305;
"add the router key in <file_name> (<pr_link>)
";-;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.8149914145469666;0.4338582754135132;
"add the router key in <file_name> (<pr_link>)
";-;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8922827243804932;0.8231077194213867;
"add the router key in <file_name> (<pr_link>)
";-;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8295881152153015;0.5041261911392212;
"add the router key in <file_name> (<pr_link>)
";-;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8597115278244019;0.3733065724372864;
"add the router key in <file_name> (<pr_link>)
";-;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8307041525840759;0.517568826675415;
"add the router key in <file_name> (<pr_link>)
";-;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8341041803359985;0.5296376943588257;
fix wrong telnet command package( <issue_link> ) ( <pr_link> );wrong telnet command package;fix wrong telnet command package;wrong;Similar;0.934408962726593;0.7186780571937561;
fix wrong telnet command package( <issue_link> ) ( <pr_link> );wrong telnet command package;Fix hessian-lite spelling mistake  ;spelling mistake;Similar;0.8091928958892822;0.739835798740387;
fix wrong telnet command package( <issue_link> ) ( <pr_link> );wrong telnet command package;Revert fix wrong check of <iden> when export a service (fix issue_6269) ( <pr_link> )  ;fix wrong check;Similar;0.8804488182067871;0.7291805148124695;
fix wrong telnet command package( <issue_link> ) ( <pr_link> );wrong telnet command package;fix protocol register set false not work ( <pr_link> );not work;Similar;0.8099631071090698;0.5906966924667358;
fix wrong telnet command package;wrong;fix protocol register set false not work ( <pr_link> );not work;Similar;0.8129779100418091;0.8275613784790039;
fix typo ( <pr_link> );typo;Enable <file_name> ( <pr_link> );Enable;Similar;0.8142040967941284;0.7239996194839478;
fix typo ( <pr_link> );typo;fix typo:<iden> ( <pr_link> );typo;Similar;0.968956470489502;1.0;
fix typo ( <pr_link> );typo;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8437175750732422;0.744056224822998;
fix typo ( <pr_link> );typo;Fix <issue_link> ( <pr_link> );fix;Similar;0.93394935131073;0.75819993019104;
fix typo ( <pr_link> );typo;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.8545570969581604;0.7843494415283203;
fix typo ( <pr_link> );typo;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8776927590370178;0.5544750690460205;
fix typo ( <pr_link> );typo;Fix typo;typo;Similar;0.9157962203025818;1.0;
Enable <file_name> ( <pr_link> );Enable;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.8684676885604858;0.6875578165054321;
Enable <file_name> ( <pr_link> );Enable;fix typo:<iden> ( <pr_link> );typo;Similar;0.815134584903717;0.7239996194839478;
Enable <file_name> ( <pr_link> );Enable;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8872168064117432;0.8004581332206726;
Enable <file_name> ( <pr_link> );Enable;Fix <issue_link> ( <pr_link> );fix;Similar;0.8135939240455627;0.8323961496353149;
Enable <file_name> ( <pr_link> );Enable;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8985073566436768;0.9070437550544739;
Enable <file_name> ( <pr_link> );Enable;Correct <file_name> version  ;Correct;Similar;0.922688126564026;0.9114340543746948;
Enable <file_name> ( <pr_link> );Enable;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8405387997627258;0.5021300315856934;
Enable <file_name> ( <pr_link> );Enable;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8786813020706177;0.42542585730552673;
Enable <file_name> ( <pr_link> );Enable;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8017197251319885;0.5985727906227112;
Enable <file_name> ( <pr_link> );Enable;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.889263391494751;0.6391083598136902;0.5981388688087463
Enable <file_name> ( <pr_link> );Enable;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8332009315490723;0.7197391390800476;
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.809593677520752;0.7325915694236755;
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;add <file_name> rule to check import order;<pr_link>;Similar;0.8014193773269653;0.7773067951202393;
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8579654097557068;0.6235432028770447;
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8113404512405396;0.7001327276229858;
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8197970390319824;0.753840446472168;
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8763723373413086;0.6636301279067993;0.5005987882614136
Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8148207664489746;0.5530272126197815;
Remove unused variable parameters in <file_name> (<pr_link>);unused;Remove unused code  ;unused;Similar;0.8071141839027405;1.0;
Remove unused variable parameters in <file_name> (<pr_link>);unused;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Similar;0.8184298276901245;0.5407501459121704;
Remove unused variable parameters in <file_name> (<pr_link>);unused;Reduce object allocation for <method_name>;"-
None";Similar;0.8902338743209839;0.9139323830604553;
Remove unused variable parameters in <file_name> (<pr_link>);unused;Remove unused import for unit test;clear unused import;Similar;0.8123664855957031;0.7636955976486206;
Remove unused variable parameters in <file_name> (<pr_link>);unused;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8586018681526184;0.33100882172584534;
fix typo:<iden> ( <pr_link> );typo;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.840624213218689;0.744056224822998;
fix typo:<iden> ( <pr_link> );typo;Fix <issue_link> ( <pr_link> );fix;Similar;0.9139914512634276;0.75819993019104;
fix typo:<iden> ( <pr_link> );typo;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.8707234263420105;0.7843494415283203;
fix typo:<iden> ( <pr_link> );typo;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8922238349914551;0.5544750690460205;
fix typo:<iden> ( <pr_link> );typo;Fix typo;typo;Similar;0.8558938503265381;1.0;
fix typo:<iden> ( <pr_link> );typo;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8109784722328186;0.5233287811279297;0.6274689435958862
fix typo:<iden> ( <pr_link> );typo;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8150671124458313;0.5622863173484802;
Fix issue#5411 (<pr_link>);Fix;Fix <issue_link> ( <pr_link> );fix;Similar;0.8178542256355286;1.0;
use revision in  <file_name>  ( <pr_link> );Revision use;add <file_name> rule to check import order;<pr_link>;Similar;0.8061293959617615;0.7809522151947021;
use revision in  <file_name>  ( <pr_link> );Revision use;Fix <issue_link> ( <pr_link> );fix;Similar;0.811432421207428;0.8519042730331421;
use revision in  <file_name>  ( <pr_link> );Revision use;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8693093061447144;0.8180102109909058;
use revision in  <file_name>  ( <pr_link> );Revision use;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8748098611831665;0.6633690595626831;
use revision in  <file_name>  ( <pr_link> );Revision use;modify consumer  <file_name> : param type from string to map;param type from string to map;Similar;0.8234776854515076;0.6409870386123657;
use revision in  <file_name>  ( <pr_link> );Revision use;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.9112882018089294;0.6562113165855408;
use revision in  <file_name>  ( <pr_link> );Revision use;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.825800895690918;0.67138671875;
use revision in  <file_name>  ( <pr_link> );Revision use;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8112945556640625;0.7525033354759216;
use revision in  <file_name>  ( <pr_link> );Revision use;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8465692400932312;0.5714977979660034;
add <file_name> rule to check import order;<pr_link>;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8202071785926819;0.6730965375900269;
add <file_name> rule to check import order;<pr_link>;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.814853310585022;0.6141668558120728;
add <file_name> rule to check import order;<pr_link>;modify consumer  <file_name> : param type from string to map;param type from string to map;Similar;0.8000408411026001;0.7548098564147949;
add <file_name> rule to check import order;<pr_link>;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8387595415115356;0.6835878491401672;
add <file_name> rule to check import order;<pr_link>;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8342767953872681;0.6937899589538574;
Fix <issue_link> ( <pr_link> );fix;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.8466060161590576;0.8015164732933044;
Fix <issue_link> ( <pr_link> );fix;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8940883874893188;0.6243098974227905;
Fix <issue_link> ( <pr_link> );fix;Fix typo;typo;Similar;0.8454862236976624;0.75819993019104;
Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Fix stub proxy does not work cause of ProxyFactory.getProxy change  ;fix;Similar;0.9616786241531372;0.6419470310211182;
Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;fix protocol register set false not work ( <pr_link> );not work;Similar;0.8523600101470947;0.5419049859046936;
Fix stub proxy does not work cause of ProxyFactory.getProxy change  ;fix;fix protocol register set false not work ( <pr_link> );not work;Similar;0.8366470336914062;0.6593414545059204;
Fix hessian-lite spelling mistake  ;spelling mistake;fix comment grammar error;to correct the grammar error;Similar;0.803668200969696;0.6921724081039429;
"Add a remoting redis to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module  ";"to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module";Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.8291953206062317;0.5866323709487915;
fix publish null value when use consul config center  ;fix publish null value;Remove unnecessary null check and fix typo;unnecessary, fix typo;Similar;0.8456501960754395;0.7538692355155945;
Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8156508803367615;0.4889809191226959;
Adding the overriding rule for <file_name> (<pr_link>);Enhancement;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8280006647109985;0.58294677734375;
Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8494306802749634;0.47571861743927;
Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8143294453620911;0.5700764060020447;
Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.821648359298706;0.7180643081665039;
Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8328003883361816;0.6598736047744751;
Correct <file_name> version  ;Correct;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8398855924606323;0.518363356590271;
Remove unused code  ;unused;Reduce object allocation for <method_name>;"-
None";Similar;0.8398367166519165;0.9139323830604553;
Remove unused code  ;unused;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8908120393753052;0.5258044600486755;
Remove unused code  ;unused;Remove unused import for unit test;clear unused import;Similar;0.861553966999054;0.7636955976486206;
Remove unused code  ;unused;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.87462317943573;0.33100882172584534;
Remove unnecessary null check and fix typo;unnecessary, fix typo;Remove unused import for unit test;clear unused import;Similar;0.8058973550796509;0.7068569660186768;
<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8331328630447388;0.6129193902015686;
<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8189122080802917;0.6396923661231995;
<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.815468430519104;0.7065840363502502;
<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8527349233627319;0.44533613324165344;
