url;new_message1;Decision;Rationale
https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Refactor: remove  <method_name>  and relace it with  <method_name>  ( <pr_link> ) ;Refactor: remove;and replace it with <method_name> ( <pr_link> )
https://github.com/apache/dubbo/commit/8b6f4456d5664f4e7f32b0e772befc4b12086aaa;Minor improvement on test cases: ( <pr_link> )  <enter> 1. Use org.junit.Assert instead of junit.framework.Assert( @deprecated  since Junit 4) 2. Use assertTrue and other assert methods through static import to make codes easier to read ;Minor improvement on test cases: ( <pr_link> )  ;Use org.junit.Assert instead of junit.framework.Assert( @deprecated  since Junit 4), Use assertTrue and other assert methods through static import to make codes easier to read
https://github.com/apache/dubbo/commit/8be896e663812f9b981010295d47fa730af51428;Simplify code with Lambda ( <pr_link> )  <enter> Simplify code with Lambda ;Simplify code with Lambda;code simplification
https://github.com/apache/dubbo/commit/57c13e07430a58e77249b96af9574b3db04e6dba;Remove unused import for unit test ( <pr_link> )  <enter> * clear unused import ;Remove unused import for unit test;clear unused import
https://github.com/apache/dubbo/commit/3a05378a2f9f1d183c33882c585a9d2a90445ef8;Simply  <file_name>  ( <pr_link> ) ;Simply <file_name> ( <pr_link> );
https://github.com/apache/dubbo/commit/737f7a7ea67832d7f17517326fb2491d0a086dd7;add jdk11 to travis ci ( <pr_link> )  <enter> * add jdk11 to travis ci * Update  <file_name>  * upgrade jacoco to support jdk11 ;add jdk11 to travis ci;upgrade jacoco to support jdk11
https://github.com/apache/dubbo/commit/a466f4f4a4b58d1089533bdbbde372d852afb5f0;fix <issue_link> : enhance  <file_name>  equals ( <pr_link> ) ;fix <issue_link> : enhance  <file_name>  equals ( <pr_link> );
https://github.com/apache/dubbo/commit/f490df87de45b57be8c224581a8a1a7dd9a20946;keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )  <enter> * keep demo simple, and switch to use zookeeper as registry center <enter> * remove comment ;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None"
https://github.com/apache/dubbo/commit/b4afeb982b943ca8c6bbd261302a9e161c2e98a9;follow up for pr#4339, remove the space ( <pr_link> ) ;remove the space ( <pr_link> );follow up for pr#4339
https://github.com/apache/dubbo/commit/d5c517607b5bb5360c56b8d619799b2795594040;port <pr_link> into main trunk ( <pr_link> )  <enter> fixes <issue_link> ;Port <pr_link> into main trunk (<pr_link>);Fixes <issue_link>
https://github.com/apache/dubbo/commit/b30bddb464344bdefad4034d06ed1ddba5d00aef;switch from <iden> to regular list in order to avoid potential UnsupportedOperationException ( <pr_link> ) <enter>  Fixes <issue_link> ;switch from <iden> to regular list;in order to avoid potential UnsupportedOperationException ( <pr_link> )
https://github.com/apache/dubbo/commit/53644f70aeb269345121dd46e74a6490dbd223db;<issue_link> : need javadoc and articles for spring annotation use. ( <pr_link> ) ;need javadoc and articles for spring annotation use;
https://github.com/apache/dubbo/commit/2c36be62d3ecd1d8fc6526cfffc83e7630110589;rename log file from alibaba to custom-access ( <pr_link> ) ;rename log file from alibaba to custom-access  ;
https://github.com/apache/dubbo/commit/fcdf9c8ce71c26e28d23066a33eb4116a73d7d5a;update changes for <version> ;update changes for <version>  ;
https://github.com/apache/dubbo/commit/0d1ef9b411ea06e6b8c30439a96e0290b0b9dbf6;rename package name from <iden> to impl ;rename package name from <iden> to impl;-
https://github.com/apache/dubbo/commit/c7695d4fc8bf50ace2489849dcd82051785257b4;remove  <file_name>  ;Remove \<file\_name\>  ;
https://github.com/apache/dubbo/commit/66139d567eef8198101368b5d8ea37458767cae4;add unit test for parsing path ;add unit test for parsing path;-
https://github.com/apache/dubbo/commit/f7127c7abc6424ff07e4615546176f543927fbfa;fix comment grammar error ( <pr_link> )  <enter> Co-authored-by: tangtong <alan1@sfmail.sf-express.com> ;fix comment grammar error;to correct the grammar error
https://github.com/apache/dubbo/commit/8a6fd8b2adeb566dc0b281846e827694845e2ed5;update year to 2021 ( <pr_link> ) ;update year to 2021  ;
https://github.com/apache/dubbo/commit/e51c52f1fdda187e033328f79ff0538ecf9c4972;Merge pull re  <enter> fix qos port can only configure by <iden> property problem ;Merge pull request  ;fix QoS port can only be configured by identity property problem
https://github.com/apache/dubbo/commit/4a8da59573cb0f1d793809439abb2f2162f2d80f;Proofread README.md file with multiple fixes ( <pr_link> )  <enter> Fixed typo, grammatical, punctuations, and semantic coherence to improve readability and content quality. <enter> ;Proofread README.md file with multiple fixes;to improve readability and content quality
https://github.com/apache/dubbo/commit/16f7a1efe95abed080081fbdbcf18bc9ec472b1b;Close all servers/ports after tests finish ( <pr_link> ) ;Close all servers/ports after tests finish  ;Ensure proper cleanup
https://github.com/apache/dubbo/commit/9ca9bb04b926ba33c6755aff8373314e60f2be89;Fix typo <issue_link> ;Fix typo;typo
https://github.com/apache/dubbo/commit/4dc0612cb64eae2afe2ac0493d44723769556326;Update README.md ( <pr_link> )  <enter> add @override annotation ;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation
https://github.com/apache/dubbo/commit/61d5d44b90b76f264ecdf5aa50763a91b91e0fa6;Update  <file_name>  ( <pr_link> ) ;Update <file_name> ( <pr_link> );
https://github.com/apache/dubbo/commit/bbacab0b32b74ba4beb90f9100980b184ac70c71;Enhancement, support <iden> auto recognize in  <file_name>  ( <pr_link> )  <enter> Fix <issue_link> ;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>"
https://github.com/apache/dubbo/commit/789775b3ae35d673028dd99e5251e92334ff14c3;Change <iden> to regular list in  <file_name>  ( <pr_link> ) ;Change <iden> to regular list in <file_name> (<pr_link>);to regular list
https://github.com/apache/dubbo/commit/055f1cc6adab30fc09496144cb66952fa5a05376;[Dubbo-4871] fix cache file name issue in windows platform ( <pr_link> ) ;fix cache file name issue in windows platform  ;
